Type,Head_Size,Teeth_Size,Dinosaur_Length,Weight,Gender,Class
Spinosaurus,1.44,15.27,13.31,8183.39,Female,2
Spinosaurus,1.55,16.38,13.16,8290.08,Male,2
Triceratops,1.91,17.16,8.76,8212.46,Male,3
TREX,1.42,15.25,11.71,6722.9,Female,1
Triceratops,2.13,16.44,6.4,7911.3,Female,3
TREX,1.53,17.65,11.64,6257.59,Female,1
Triceratops,1.88,17.38,7.73,6259.77,Female,3
TREX,1.43,20.18,10.84,6371.37,Female,1
Triceratops,1.97,16.66,7.88,6847.51,Female,3
Triceratops,1.96,12.72,7.19,7731.75,Female,3
TREX,1.62,17.82,11.32,6761.5,Male,1
Spinosaurus,1.56,12.31,12.72,9629.48,Male,2
Spinosaurus,1.42,15.24,12.03,7300.57,Male,2
Triceratops,1.89,20.27,8.72,7156.93,Female,3
TREX,1.39,18.96,11.33,5430.2,Male,1
TREX,1.43,17.36,10.74,6601.26,Male,1
Triceratops,1.96,11.85,6.72,8133.26,Male,3
TREX,1.44,18.9,8.92,6494.67,Male,1
Triceratops,2.0,12.09,7.55,7706.29,Male,3
TREX,1.4,18.11,11.42,7025.1,Female,1
Triceratops,2.04,16.87,8.76,6051.39,Male,3
Spinosaurus,1.59,17.6,12.27,11060.34,Female,2
TREX,1.7,19.21,11.46,7175.8,Female,1
TREX,1.51,21.51,9.23,6451.43,Male,1
Triceratops,2.17,15.54,10.27,7809.68,Female,3
Triceratops,2.0,25.35,7.98,7853.61,Male,3
Triceratops,2.1,22.69,7.45,6734.03,Female,3
Triceratops,2.08,16.26,8.76,7559.15,Female,3
TREX,1.55,19.01,11.05,6697.99,Male,1
TREX,1.45,22.22,10.9,7219.68,Male,1
Triceratops,2.0,15.12,6.54,7644.7,Female,3
Triceratops,2.09,19.88,9.11,7605.6,Male,3
TREX,1.37,22.11,10.61,6894.19,Female,1
TREX,1.5,21.92,11.07,6353.28,Female,1
Triceratops,1.83,12.64,7.3,6417.94,Female,3
Triceratops,2.01,16.29,7.45,8038.57,Male,3
Triceratops,1.97,18.69,6.76,7407.61,Female,3
Spinosaurus,1.35,13.73,13.67,8542.69,Male,2
TREX,1.54,15.88,11.84,6386.06,Male,1
Spinosaurus,1.5,10.89,12.72,8892.65,Male,2
TREX,1.44,20.97,12.33,6691.78,Female,1
TREX,1.43,21.99,11.97,6636.72,Female,1
Triceratops,1.87,15.16,8.0,8137.85,Male,3
Spinosaurus,1.43,14.63,14.14,8209.29,Female,2
Triceratops,1.77,17.78,8.81,8086.5,Male,3
TREX,1.56,16.82,10.31,6991.09,Male,1
Triceratops,2.13,15.33,7.02,8361.38,Female,3
Spinosaurus,1.6,14.51,12.81,9713.3,Female,2
Triceratops,2.04,15.32,8.25,7333.06,Female,3
TREX,1.43,18.83,11.25,5854.02,Female,1
